row.names(geneExp_df),baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000198105.15,473.4234455221972,-0.135414654434572,0.17848501708795803,-0.7586891978044253,0.4480385002693583,0.7204863860987836,ZNF248
ENSG00000198108.4,36.95672320821617,0.40409448735886055,0.35708718115491983,1.1316409792474373,0.2577854042481399,0.5585998672335757,CHSY3
ENSG00000198113.3,707.1245305069665,-0.3976319125364804,0.3595525247050155,-1.1059077192204563,0.268766463337876,0.5705404502139342,TOR4A
ENSG00000198121.13,579.1684124212056,-0.34360712996681975,0.2644053687075038,-1.2995467211822473,0.19375637045308103,0.48724888700046665,LPAR1
ENSG00000198125.13,181.16318699674835,0.08119901559867182,0.5417553046577314,0.14988134846223888,0.8808582272507878,0.954748669929263,MB
ENSG00000198130.16,950.1818312982401,-0.19093743029312407,0.20469933464733334,-0.9327701559073506,0.3509386533111535,0.6454019390845342,HIBCH
ENSG00000198131.14,616.6052955725605,0.3702448420083929,0.29962686285687223,1.2356864083486865,0.2165751516372566,0.5156761086449161,ZNF544
ENSG00000198133.8,311.81770406670586,0.10305007957167736,0.3212558570458747,0.3207726094686018,0.7483827178598041,0.8987204536058592,TMEM229B
ENSG00000198134.3,54.222102073471234,0.2234681590387435,0.32108404500864196,0.6959802659541332,0.4864411883567401,0.7480070457493916,PTMAP9
ENSG00000198142.5,320.0412140931327,0.31569825635171733,0.24800909742569455,1.2729301450173738,0.20304283110590582,0.49940520138486966,SOWAHC
ENSG00000198146.4,503.81191907076357,-0.31403053771893097,0.33091677442730716,-0.9489713486492187,0.34263518437574947,0.6392092741750933,ZNF770
ENSG00000198155.5,18.82366865190295,0.4936510099597927,0.38321287719583735,1.2881900357109268,0.19767981970577753,0.4923515718214407,ZNF876P
ENSG00000198157.11,331.2860165841661,-0.07162559286504769,0.32237025508259515,-0.22218424850238228,0.8241704555571248,0.9326320334041575,HMGN5
ENSG00000198160.15,1083.7885433403403,-0.284264417401217,0.20168504707723364,-1.4094471628943332,0.15870298662439086,0.44500661377601913,MIER1
ENSG00000198162.12,1642.2034643521386,-0.32418543577287684,0.17404799292188408,-1.8626209376535425,0.06251561644053336,0.2794357723408195,MAN1A2
ENSG00000198168.9,822.6350877769466,0.15352937973550423,0.19311916807871216,0.794998141628946,0.42661458316313605,0.7058008532167547,SVIP
ENSG00000198169.9,625.4612433218524,-0.17973034872714955,0.18008145475044046,-0.9980502932754654,0.318254971576743,0.61664478402051,ZNF251
ENSG00000198171.13,2260.940064638346,0.24425433910312586,0.19931569621632048,1.2254646459856968,0.22040020276858152,0.519498218349171,DDRGK1
ENSG00000198176.13,2382.859472785465,-0.12388005389011342,0.15118002869927166,-0.8194207591833209,0.41254639497272994,0.6952759175841369,TFDP1
ENSG00000198182.13,303.5726839074476,-0.002986111673478263,0.1539586270546558,-0.019395546262036902,0.984525563309472,0.9938313073533559,ZNF607
ENSG00000198185.11,45.11311318248732,0.7597730076902045,0.5687933888324749,1.3357627261627303,0.18162683968146165,0.4719455380047616,ZNF334
ENSG00000198189.11,686.5234363405151,0.05259814743050581,0.2904741188809892,0.1810768809046837,0.8563072309763959,0.9450897106016928,HSD17B11
ENSG00000198198.17,1024.626897883122,0.18468929691169028,0.17217391095234594,1.0726903738790503,0.28341006079557884,0.5855407924207924,SZT2
ENSG00000198203.10,245.50412991951887,-0.8351007064859762,0.4122503842901776,-2.025712378470847,0.04279426745706762,0.22924405256211403,SULT1C2
ENSG00000198205.6,63.35706881180233,-0.03918921666484641,0.24000280587951964,-0.16328649376090723,0.870292867600771,0.9504028613757394,ZXDA
ENSG00000198208.12,173.8102233993189,0.7051260330126754,0.32329714249055147,2.1810462894310394,0.02917999288671939,0.18817192289839313,RPS6KL1
ENSG00000198216.12,76.05183547445182,-1.2590974186624377,0.6392414552446872,-1.969674226119274,0.04887571869843776,0.24628201035968086,CACNA1E
ENSG00000198218.11,1808.4302767582224,0.10793576276356366,0.10280455149078549,1.0499122966675078,0.29375843746806984,0.5961451149236677,QRICH1
ENSG00000198221.10,61.671799110788726,-0.4306880305497076,0.3047187268847418,-1.4133953464324267,0.1575395131306111,0.4434073328680335,AFDN-DT
ENSG00000198223.17,106.4095757955397,-0.1310286147215397,0.32352481317400195,-0.40500329305829275,0.6854750903532327,0.8661792185296547,CSF2RA
ENSG00000198225.5,18.84211364280898,-0.05319318151912611,0.2464531356389979,-0.21583487416870586,0.8291164632877135,0.9351640990994,FKBP1C
ENSG00000198231.13,3567.1996640733937,-0.1795025957252671,0.08717998455999225,-2.058988615692444,0.03949532907396363,0.220341661480227,DDX42
ENSG00000198242.14,6183.181895721473,-0.37852607126900034,0.17515022995052656,-2.1611508667497605,0.03068368736506386,0.19375647068417728,RPL23A
